N,Title,Keywords,Abstract,Doi,Label
2324,Ferric Carboxymaltose Improves the Quality of Life of Patients with Inflammatory Bowel Disease and Iron Deficiency without Anaemia,ferric carboxymaltose; health-related quality of life; inflammatory bowel disease; iron deficiency,"BACKGROUND: Iron deficiency (ID) without anaemia is a common comorbidity associated with inflammatory bowel disease (IBD) that has a negative impact on health-related quality of life (HRQoL). METHODS: This multicentre, prospective, observational study examined the response to, safety of and impact on HRQoL of a single 500 mg dose of intravenous ferric carboxymaltose (FCM) in patients with IBD and ID without anaemia. The diagnostic criteria for ID were low serum ferritin (&lt;30 µg/L in the absence of inflammatory activity or &lt;100 µg/L with inflammation) and transferrin saturation index (TSAT) &lt; 16%. The effect on iron levels and HRQoL, according to the health status questionnaires SF-12v2 and EQ-5D, was evaluated 1 month after FCM infusion in an outpatient setting RESULTS: Of the 105 patients who received FCM, 98 patients completed the study After 1 month, a single dose of FCM significantly increased serum ferritin, serum iron and TSAT. Importantly, patients reported fewer ID symptoms and problems on all EQ-5D dimensions. They also had higher EQ-5D visual analogue scale and SF-12v2 scores after treatment. FCM had similar clinical effects on men and women and on patients with Crohn's disease (n = 66) and ulcerative colitis (n = 32) CONCLUSION: A single dose of FCM rapidly restored iron parameters and significantly improved patients' symptoms and HRQoL at 1 month after treatment",10.3390/jcm11102786,1
2394,Social/economic costs and health-related quality of life in patients with fragile X syndrome in Europe,"Adolescent; Adult; Caregivers; Child; Child, Preschool; Cost of Illness; Cross-Sectional Studies; Europe; Female; Fragile X Syndrome/economics/psychology; Health Care Costs/statistics & numerical data; Humans; Male; Middle Aged; Patient Care/economics; Quality of Life; Registries; Sick Leave/economics/statistics & numerical data; Sickness Impact Profile; Socioeconomic Factors; Surveys and Questionnaires; United Kingdom; Young Adult; Cost analysis; Economic burden; Fragile X syndrome; Quality of life","OBJECTIVE: To estimate the social/economic costs of fragile X syndrome (FXS) in Europe and to assess the health-related quality of life (HRQOL) of patients and caregivers. METHODS: A cross-sectional study was conducted in a sample of European countries. Patients were recruited through patients' associations. Data on their resource use and absence from the labour market were retrospectively obtained from an online questionnaire. Costs were estimated by a bottom-up approach and the EuroQol-5 Domain (EQ-5D) questionnaire was used to measure patients' and caregivers' HRQOL. RESULTS: Five countries were included in the analysis. The mean annual cost of FXS per patient varied from €4951 in Hungary to €58,862 in Sweden. Direct non-healthcare costs represented the majority of costs in all countries but there were differences in the share incurred by formal and informal care among those costs. Costs were also shown to differ between children and adults. Mean EQ-5D utility score for adult patients varied from 0.52 in France (n = 42) to 0.73 in Hungary (n = 2), while for caregivers this score was consistently inferior to 0.87. CONCLUSION: Our findings underline that, although its prevalence is low, FXS is costly from a societal perspective. They support the development of tailored policies to reduce the consequences of FXS on both patients and their relatives",10.1007/s10198-016-0784-3,1
2431,Agreement Among Paper and Electronic Modes of the EQ-5D-5L,"Adult; Aged; Aged, 80 and over; Computers, Handheld/standards; Cross-Over Studies; Data Collection/methods/standards; Female; Humans; Male; Middle Aged; Psychometrics; Quality of Life; Reproducibility of Results; Surveys and Questionnaires/standards; Telephone/standards; Young Adult","INTRODUCTION: While the EQ-5D-5L has been migrated to several electronic modes, evidence supporting the measurement equivalence of the original paper-based instrument to the electronic modes is limited. OBJECTIVES: This study was designed to comprehensively examine the equivalence of the paper and electronic modes (i.e., handheld, tablet, interactive voice response [IVR], and web) METHODS: As part of the foundational work for this study, the test-retest reliability of the paper-based, UK English format of the EQ-5D-5L was assessed using a single-group, single-visit, two-period, repeated-measures design. To compare paper and electronic modes, three independent samples were recruited into a three-period crossover study. Each participant was assigned to one of six groups to account for order effects. Descriptive statistics, mean differences (i.e., split-plot analysis of variance [ANOVA]), and intraclass correlation coefficients (ICCs) were calculated. RESULTS: The test-retest results showed mean differences near zero and ICC values > 0.90 for both the index and the EQ VAS scores. For the electronic comparisons, mean difference confidence intervals (CIs) for the EQ-5D index scores and EQ VAS scores reflected equivalence of the means across all modes, as the CIs were wholly contained inside the equivalence interval. Further, the ICC 95% lower CIs for the index and EQ VAS scores showed values above the thresholds for denoting equivalence across all comparisons in each sample. No significant mode-by-order interactions were present in any ANOVA model. CONCLUSIONS: Overall, our comparisons of the paper, screen-based, and phone-based formats of the EQ-5D-5L provided substantial evidence to support the measurement equivalence of these modes of data collection",10.1007/s40271-020-00419-6,1
2487,"Impact of surgically operated hip fracture on the quality of life, functional status and mood of the elderly",Activities of Daily Living; Aged; Functional Status; Humans; Prospective Studies; Quality of Life; Spain; Calidad de vida; Depresión; Depression; Estado funcional; Fractura de cadera; Functional status; Hip fracture; Quality of life,"OBJECTIVES: To determine the quality of life related to health, functional capacity and mood to hip fracture and one month after surgery. METHOD: Prospective and descriptive study developed from January 2015 to January 2016 in Campo Arañuelo Hospital (Navalmoral de la Mata, Cáceres, Spain). Sociodemographic variables, functional capacity (Barthel Index), dependence (Lawton and Brody Scale), quality of life related to health (Questionnaire Euroqol-5D) and on mood (Yesavage geriatric depression scale GDS15) were collected, prior to the hip fracture and one month after the intervention. RESULTS: Significant decrease in functional capacity (Barthel), the mean score was 86.66 before the fracture, compared to 58.72 at the month after surgery (P<.001). Regarding the Lawton and Brody Scale, the mean was 4.95 and at 2.24months (P<.001). The mean scores on health related quality of life, baseline and post-intervention in the analog visual scale of the EQ-5D questionnaire were 72.95 vs 59.45 respectively (P=.004). Although before the fracture, 94.10% had no alteration in mood, one month after the intervention there was a possible depression of 20.50% and an established depression of 11%. CONCLUSIONS: The fracture of the head affects the functionality of the elderly, causing dependence for the basic and instrumental activities of daily life. It also affects the quality of life related to health and this decreases significantly in the month after surgery. Depressive mood is inversely related to perceived perceived quality of life",10.1016/j.enfcli.2019.03.003,0
2901,Quality of Life Experienced by Major Lower Extremity Amputees,major lower limb amputation; prosthesis; quality of life; trans-femoral amputation; trans-tibial amputation,"Lower extremity amputations and diabetic foot-related complications in the Caribbean population have been previously reported. However, there is a lack of evidence that assess the quality of life experienced in such amputees. This study aimed to determine the health-related quality of life (HRQoL) in patients after a major lower limb amputation. Data collection was performed for all major lower limb amputations undertaken at a tertiary care institution in Trinidad and Tobago, between January 2012 to December 2016. The quality of life for patients who were accessible, alive, and willing to participate was assessed using the EuroQol 5D-5L tool. Statistical analysis was performed using the Mann-Whitney U and Kruskal-Wallis tests comparing medians across various subgroups. A total of 134 individuals were still alive and willing to participate in the study. The average EQ-5D-5L index value for the cohort was (0.598), which was significantly lower compared to EQ-5D-5L population norms for Trinidad and Tobago p < 0.05 Statistically significant differences were also seen in median EQ-5D-5L index value for patients who ambulated with a prosthesis (0.787) compared to those who used another device for mobilization (0.656), p < 0.05, and to those patients who did not ambulate (0.195), p < 0.05. A comparable Quality of life was seen between the level of amputation (transtibial versus transfemoral) and gender (males versus females), p-values were 0.21 and 1.0, respectively. Overall quality of life after major amputation, as well as independent mobilization with a prosthesis, continues to be problematic in the Caribbean population. Factors adversely related to the quality of life post major amputation include increasing age, problems related to mobility, and non-ambulatory patients",10.7759/cureus.17440,1
2932,Depression and anxiety mediate perceived social support to predict health-related quality of life in pregnant women living with HIV,"Adult; Anxiety/psychology; Asians; China; Depression/psychology; Female; HIV Infections/complications/physiopathology/psychology; Humans; Male; Middle Aged; Pregnancy; Pregnancy Complications, Infectious/physiopathology/psychology; Quality of Life; Social Support; Health-related quality of life; anxiety and depression; mediator; pregnant women living with HIV; social support","Pregnant women living with HIV represent one of the most high-priority groups for HIV treatment and health assessment. Although social support has been shown to be a protective factor for improved health-related quality of life (HRQoL), and depression and anxiety have been identified as two major causes of psychological distress among people living with HIV, it is still unclear how social support, anxiety, and depression interact to influence HRQoL. The objective of our study was to demonstrate the nature of predictors, direct effects and mediator effects among social support, anxiety, depression symptoms and HRQoL in pregnant women living with HIV. We investigated a total of 101 pregnant women living with HIV in Yunnan province in China from April 2016 to June 2016. All participants completed the Social Support Rating Scale (SSRS), the Chinese version of the Hospital Anxiety and Depression Scales (HADS) and Quality of Life instruments (EuroQoL Five Dimensions Questionnaire, EQ-5D). The relationships between the variables were examined by Pearson's or Spearman's correlation analysis. Predictor effects were tested using separate multiple regressions, controlling for demographic variables and HIV diagnosis variables. Direct and mediation effects of social support on HRQoL were tested using a structural equation model (SEM). Anxiety and depression symptoms were negatively correlated with subjective social support, support utilization, social support and HRQoL. Social support significantly predicted better HRQoL, and anxiety and depression symptoms significantly predicted poorer HRQoL. Anxiety and depression symptoms partially mediated the associations between social support and HRQoL. Anxiety and depression symptoms completely mediated the associations of objective support and support utilization with HRQoL. Interventions to improve HRQoL in pregnant women living with HIV must consider the mediation effect of anxiety and depression symptoms on the association between social support and HRQoL. Social support interventions are valid only when anxiety and depression symptoms are managed effectively",10.1080/09540121.2018.1456640,1
3049,Asthma insights from Jordan: cross-sectional observational study,"Adolescent; Adult; Aged; Aged, 80 and over; Asthma/prevention & control; Cross-Sectional Studies; Female; Humans; Jordan; Male; Middle Aged; Young Adult; ACT; Asthma control; Jordan; low-income countries; quality of life","OBJECTIVE: The burden of uncontrolled asthma on patients in Jordan is largely unknown. This study assessed different aspects of asthma clinical features: the level of asthma control, its correlation with quality of life, and possible predictors of asthma control. METHODS: Face-to-face interviews with asthmatic patients (≥16 years old) in north Jordan from 2013 to 2014 were conducted Outcomes measures were assessed using the asthma control test (ACT), the mini asthma quality of life questionnaire (mini-AQLQ), and the Generic health-related quality of life (EQ-5D). The relationship between asthma control and quality of life was examined using Spearman's correlation coefficient. Predictors of asthma control were determined using multivariable logistic regression adjusted for confounders. RESULTS: A total of 255 patients were recruited (mean age 45.16 years, 74.5% female). Approximately one-third of subjects (30.6%; n = 78) had controlled asthma (ACT ≥ 20). A strong correlation between asthma control and both mini-AQLQ and EQ-5D scores was identified (p < 0.001). Subjects who required to step-up treatment (OR = 0.12, 95% CI: 0.02-0.63, p = 0.01) and with acute asthma exacerbation (OR = 0.32, 95% CI: 0.18-0.58, p < 0.001) were independently associated with poor asthma control. CONCLUSIONS: Most of the recruited patients have not achieved optimal asthma control and was associated with low quality of life. The study highlights that even in low-income countries, a simple assessment tool such as the ACT can be utilized to screen and categorize asthma control This approach would facilitate a better treatment plan and eventually improve asthma control and quality of life in asthma patients",10.3109/02770903.2015.1121493,1
3097,The minimal important change for the EQ VAS based on the SF-36 health transition item: observations from 25772 spine surgery procedures,Disk herniation; EQ VAS; EQ-5D; Health transition item; MCID; MIC; ROC; SF-36; Spinal stenosis,"PURPOSE: The EQ VAS is an integral part of EQ-5D, a commonly used instrument for health-related quality of life assessment. This study aimed to calculate the minimal important change (MIC) thresholds for the EQ VAS for improvement and deterioration after surgery for disk herniation or spinal stenosis. METHODS: Patients, who were surgically treated for disk herniation or spinal stenosis between 2007 and 2016, were recruited from the Swedish spine register Preoperative and 1-year postoperative data for a total of 25772 procedures were available for analysis. We used two anchor-based methods to estimate MIC for EQ VAS: (1) a predictive model based on logistic regression and (2) receiver operating characteristics (ROC) curves. The SF-36 health transition item was used as anchor. RESULTS: The EQ VAS MIC threshold for improvement after disk herniation surgery ranged from 8.25 to 11.8 while the corresponding value for deterioration ranged from - 6.17 to 0.5. For spinal stenosis surgery the corresponding MIC values ranged from 10.5 to 14.5 and - 7.16 to - 6.5 respectively. There were moderate negative correlations (disk herniation - 0.47, spinal stenosis - 0.46) between the 1 year change in the EQ VAS and the SF-36 health transition item (MIC anchor). CONCLUSIONS: For EQ VAS, we recommend a MIC threshold of 12 points for improvement after surgery for disk herniation or spinal stenosis, whereas the corresponding threshold for deterioration is - 7 points. There are marked differences between the EQ VAS MIC for improvement and deterioration after surgery for disk herniation or spinal stenosis. The MIC value varied depending on the method used for MIC estimation",10.1007/s11136-022-03182-3,0
3110,Estimating Health-State Utility Values in Kidney Transplant Recipients and Waiting-List Patients Using the EQ-5D-5L,"Adolescent; Adult; Female; Health Status; Humans; Kidney Failure, Chronic/physiopathology/surgery; Kidney Transplantation; Male; Middle Aged; Outcome Assessment, Health Care/methods; Prospective Studies; Quality of Life; Regression Analysis; Renal Dialysis/methods; Time Factors; Transplant Recipients/statistics & numerical data; United Kingdom; Waiting Lists; Young Adult; EQ-5D-5L; end-stage renal disease; health-state utility values; multivariable regression","OBJECTIVES: To report health-state utility values measured using the five-level EuroQol five-dimensional questionnaire (EQ-5D-5L) in a large sample of patients with end-stage renal disease and to explore how these values vary in relation to patient characteristics and treatment factors. METHODS: As part of the prospective observational study entitled ""Access to Transplantation and Transplant Outcome Measures,"" we captured information on patient characteristics and treatment factors in a cohort of incident kidney transplant recipients and a cohort of prevalent patients on the transplant waiting list in the United Kingdom. We assessed patients' health status using the EQ-5D-5L and conducted multivariable regression analyses of index scores. RESULTS: EQ-5D-5L responses were available for 512 transplant recipients and 1704 waiting-list patients. Mean index scores were higher in transplant recipients at 6 months after transplant surgery (0.83) compared with patients on the waiting list (0.77). In combined regression analyses, a primary renal diagnosis of diabetes was associated with the largest decrement in utility scores. When separate regression models were fitted to each cohort, female gender and Asian ethnicity were associated with lower utility scores among waiting-list patients but not among transplant recipients. Among waiting-list patients, longer time spent on dialysis was also associated with poorer utility scores. When comorbidities were included, the presence of mental illness resulted in a utility decrement of 0.12 in both cohorts. CONCLUSIONS: This study provides new insights into variations in health-state utility values from a single source that can be used to inform cost-effectiveness evaluations in patients with end-stage renal disease",10.1016/j.jval.2017.01.011,1
3256,Efficacy of acetaminophen with and without oxycodone for analgesia in non-operative treatment of extremity fractures in adults: protocol for a double-blind randomized clinical trial,"Acetaminophen/administration & dosage/therapeutic use; Adolescent; Adult; Aged; Aged, 80 and over; Double-Blind Method; Drug Combinations; Extremities/injuries; Female; Fractures, Bone/physiopathology/therapy; Humans; Male; Middle Aged; Outcome Assessment, Health Care; Oxycodone/therapeutic use; Pain Management/methods; Randomized Controlled Trials as Topic; Young Adult; Acetaminophen; Fracture; Non-operative treatment; Opioids","BACKGROUND: Opioids and acetaminophen are both widely used to relieve pain after non-operative treatment of limb fractures, but evidence for the superiority of opioids versus acetaminophen is lacking. In this study, we aim to determine whether acetaminophen is non-inferior to the acetaminophen/oxycodone combination for pain relief after non-operative fixation of an extremity limb fracture. We hypothesize that acetaminophen is non-inferior to the acetaminophen/oxycodone combination. METHODS: A double-blind randomized controlled trial will be conducted. Power analysis determined that 1226 participants will be needed (P <0.05, power 90%). Patients with acute limb fracture who receive non-operative treatment will be recruited and randomly allocated into two groups: the intervention group will receive oral oxycodone (10 mg) and acetaminophen (650 mg), and the control group will receive acetaminophen (650 mg) only. All participants will be instructed to take one pill of study medication on an as-needed basis and no more frequently than once every 8 h. The primary outcome measure will be scores on the 11-point Numeric Rating Scale (NRS-11) over 14 days. Secondary outcome measures are scores on the Self-Rating Anxiety Scale (SAS), Self-Rating Depression Scale (SDS), EuroQol five-dimension questionnaire (EQ-5D), self-rated satisfaction with the analgesia produced, self-reported nighttime sleep duration, number of intervention or control pills used, and total duration for taking intervention or control medication. Change of pain scores and the number of times that analgesic drugs were taken in the two groups will be statistically evaluated with Student t tests according to their fracture site DISCUSSION: This study will be a randomized controlled trial that is adequately powered to test the hypothesis that acetaminophen is non-inferior to the combination of acetaminophen and oxycodone in relieving objectively measured pain after non-operative treatment of limb fractures in adults. It will hopefully provide a safe and effective analgesic plan for such patients. TRIAL REGISTRATION: ChiCTR registry: ChiCTR1800017015 . Registered on July 8, 2018",10.1186/s13063-019-3579-x,0
3382,Patient-Reported Outcome in Two Chronic Diseases: A Comparison of Quality of Life and Response Profiles in Severe Migraine and Severe Asthma,asthma; migraine; psychological distress; quality of life; work performance,"INTRODUCTION: Migraine and asthma are two frequent, disabling, chronic disorders with a major impact on patient well-being. The objectives of this study were to compare subjective well-being between patients with severe forms of migraine or asthma using a panel of PROs. METHODS: Adult patients were recruited during routine consultations with chest physicians or neurologists. Patients with severe migraine (reporting headaches on ≥8 days/month and having failed ≥2 prophylactic treatments) and patients with severe asthma (according to the 2017 GINA definition: requiring Step 4 or 5 treatment or presenting uncontrolled symptoms) were eligible. Each patient completed the EuroQol Questionnaire (EQ-5D-5L), the Work Productivity and Activity Impairment Questionnaire (WPAI) and the Hospital Anxiety and Depression scale (HAD). Patients with severe migraine the 6-item Headache Impact Test (HIT-6) and those with severe asthma completed the Asthma Control Test (ACT). RESULTS: 249 patients with severe migraine and 96 with severe asthma were enrolled. Mean EQ-5D-5L utility scores were significantly higher in the severe migraine group than in the severe asthma group (0.75±0.25 vs 0.68±0.26; p<0.01). Low EQ-5D-5L utility scores were associated with frequent (≥15 headache days/month) or disabling (HIT-6 score ≥60) headaches and with poor asthma control. Patients with severe migraine more frequently presented a HAD depression score ≥11 (23.0% in severe migraine; 7.5% in severe asthma; p<0.01), whereas those with severe asthma more frequently reported problems with mobility, self-care and usual activities. Absenteeism (percent worktime missed) was similar in both groups (severe migraine: 9.0%±19.1%; severe asthma: 13.8%±22.9%) but work impairment was higher in the severe migraine group (44.3% vs 28.4%; p<0.01) CONCLUSION: Quality of life, work activity and psychological distress are all deteriorated in both severe migraine and severe asthma. Different aspects are affected in the two diseases: a greater impact on psychological aspects in severe migraine and a greater impact on physical aspects in severe asthma",10.2147/PROM.S222597,1
